,Action,Movable,Surface,x,y,z,yaw,dx,run_name
0,pick,veggietomato,box,0.21799999999999997,-0.09199999999999964,0.07700000000000018,2.977,0.16000000000000003,/_gmm/0
1,pick,veggietomato,box,0.255,0.013999999999999957,0.07700000000000018,2.608,0.123,/_gmm/5
2,pick,veggietomato,box,0.14900000000000002,-0.6080000000000001,0.07699999999999996,1.857,0.11649999999999999,/_gmm/17
3,pick,veggietomato,box,0.20399999999999996,-0.1599999999999997,0.07700000000000018,2.753,0.17400000000000004,/_gmm/27
4,pick,veggietomato,box,0.11499999999999999,0.1900000000000004,0.07699999999999996,1.783,0.15050000000000002,/_gmm/28
5,pick,veggietomato,box,0.138,-0.6150000000000002,0.07699999999999996,1.237,0.1275,/_gmm/34
6,pick,veggietomato,box,0.198,-0.022999999999999687,0.07699999999999996,0.632,0.0675,/_gmm/48
7,pick,veggietomato,box,0.15099999999999997,0.05999999999999994,0.07699999999999996,1.696,0.11450000000000005,/_gmm/51
8,pick,veggietomato,box,0.333,-0.11100000000000004,0.07700000000000018,0.251,0.07050000000000001,/_gmm/63
9,pick,veggietomato,box,0.27799999999999997,0.05900000000000016,0.07700000000000018,2.54,0.12550000000000006,/_gmm/89
10,pick,veggietomato,box,0.277,0.3380000000000001,0.07700000000000018,1.215,0.10099999999999998,/_gmm/92
11,pick,veggietomato,box,0.289,0.039999999999999925,0.07700000000000018,2.687,0.11450000000000005,/_gmm/94
12,pick,veggietomato,box,0.131,-0.31499999999999995,0.07600000000000007,2.272,0.16650000000000004,/_gmm/95
13,pick,veggietomato,box,0.186,0.2749999999999999,0.07600000000000007,2.681,0.11150000000000004,/_gmm/97
14,pick,veggietomato,box,0.267,-0.11499999999999977,0.07700000000000018,2.043,0.11350000000000005,/_gmm/104
15,pick,veggietomato,box,0.26899999999999996,-0.06099999999999994,0.07700000000000018,0.903,0.13450000000000006,/_gmm/105
16,pick,veggietomato,box,0.235,0.20599999999999996,0.07700000000000018,2.043,0.14300000000000002,/_gmm/109
17,pick,veggietomato,box,0.24400000000000005,0.06299999999999972,0.07700000000000018,0.449,0.15949999999999998,/_gmm/111
18,pick,veggietomato,box,0.23000000000000004,-0.05999999999999961,0.07700000000000018,3.065,0.1735,/_gmm/115
19,pick,veggietomato,box,0.245,0.05199999999999999,0.07700000000000018,2.04,0.133,/_gmm/116
20,pick,veggietomato,box,0.3,-0.08499999999999996,0.07700000000000018,2.036,0.10350000000000004,/_gmm/118
21,pick,veggietomato,box,0.196,-0.10199999999999987,0.07699999999999996,1.244,0.0695,/_gmm/121
22,pick,veggietomato,box,0.23700000000000004,-0.3160000000000003,0.07600000000000007,0.963,0.0605,/_gmm/123
23,pick,veggietomato,box,0.21999999999999997,-0.06299999999999972,0.07700000000000018,1.052,0.1605000000000001,/_gmm/124
24,pick,veggietomato,box,0.21200000000000002,0.08599999999999985,0.07699999999999996,1.024,0.05349999999999999,/_gmm/127
25,pick,veggietomato,box,0.26,0.08000000000000002,0.07700000000000018,0.979,0.118,/_gmm/128
26,pick,veggietomato,box,0.20499999999999996,-0.728,0.07700000000000018,2.487,0.17300000000000004,/_gmm/129
27,pick,veggietomato,box,0.27399999999999997,0.019000000000000128,0.07700000000000018,2.679,0.12950000000000006,/_gmm/133
28,pick,veggietomato,box,0.21799999999999997,-0.05800000000000005,0.07700000000000018,2.862,0.16000000000000003,/_gmm/146
29,pick,veggietomato,box,0.22700000000000004,-0.06599999999999984,0.07700000000000018,2.827,0.1765,/_gmm/153
30,pick,veggietomato,box,0.23299999999999998,-0.03699999999999992,0.07700000000000018,3.088,0.14750000000000008,/_gmm/162
31,pick,veggietomato,box,0.248,0.04800000000000004,0.07700000000000018,1.144,0.13,/_gmm/174
32,pick,veggietomato,box,0.15799999999999997,-0.05000000000000071,0.07600000000000007,1.57,0.13950000000000007,/_gmm/180
33,pick,veggietomato,box,0.20399999999999996,0.21300000000000008,0.07700000000000018,1.591,0.17400000000000004,/_gmm/181
34,pick,veggietomato,box,0.179,-0.16499999999999915,0.07600000000000007,0.69,0.11850000000000005,/_gmm/187
35,pick,veggietomato,box,0.255,-0.05700000000000001,0.07700000000000018,2.248,0.12550000000000006,/_gmm/188
36,pick,veggietomato,box,0.178,0.04999999999999982,0.07600000000000007,2.353,0.11950000000000005,/_gmm/199
37,pick,veggietomato,box,0.22200000000000003,0.36099999999999977,0.07700000000000018,2.771,0.1815,/_gmm/206
38,pick,veggietomato,box,0.192,-0.22599999999999998,0.07699999999999996,0.572,0.07350000000000001,/_gmm/210
39,pick,veggietomato,box,0.261,0.3180000000000005,0.07700000000000018,2.658,0.11699999999999999,/_gmm/216
40,pick,veggietomato,box,0.31299999999999994,-0.04400000000000004,0.07700000000000018,0.015,0.06500000000000006,/_gmm/221
41,pick,veggietomato,box,0.241,0.07500000000000018,0.07700000000000018,1.012,0.137,/_gmm/235
42,pick,veggietomato,box,0.276,0.2530000000000001,0.07700000000000018,2.148,0.10199999999999998,/_gmm/237
43,pick,veggietomato,box,0.25100000000000006,-0.7159999999999997,0.07700000000000018,2.376,0.15249999999999997,/_gmm/242
44,pick,veggietomato,box,0.244,-0.1769999999999996,0.07700000000000018,1.656,0.13650000000000007,/_gmm/251
45,pick,veggietomato,box,0.336,-0.009999999999999787,0.07700000000000018,0.719,0.06800000000000006,/_gmm/260
46,pick,veggietomato,box,0.288,-0.08999999999999986,0.07700000000000018,3.129,0.11550000000000005,/_gmm/265
47,pick,veggietomato,box,0.322,-0.0519999999999996,0.07700000000000018,0.961,0.08150000000000002,/_gmm/268
48,pick,veggietomato,box,0.276,-0.272,0.07700000000000018,1.901,0.10450000000000004,/_gmm/273
49,pick,veggietomato,box,0.22899999999999998,0.01200000000000001,0.07700000000000018,0.359,0.14900000000000002,/_gmm/289
50,pick,veggietomato,box,0.24799999999999994,-0.17899999999999983,0.07700000000000018,0.956,0.15600000000000014,/_gmm/291
51,pick,veggietomato,box,0.34700000000000003,-0.049000000000000016,0.07700000000000018,0.49,0.056499999999999995,/_gmm/294
52,pick,veggietomato,box,0.08500000000000002,0.041999999999999815,0.07699999999999996,3.13,0.1805,/_gmm/298
53,pick,veggietomato,box,0.292,0.6189999999999998,0.07700000000000018,0.419,0.1120000000000001,/_gmm/309
54,pick,veggietomato,box,0.307,0.12399999999999967,0.07700000000000018,1.034,0.09700000000000009,/_gmm/315
55,pick,veggietomato,box,0.195,-0.019000000000000128,0.07699999999999996,0.726,0.07050000000000001,/_gmm/319
56,pick,veggietomato,box,0.235,-0.23299999999999998,0.07700000000000018,2.943,0.14550000000000007,/_gmm/320
57,pick,veggietomato,box,0.25599999999999995,0.09899999999999931,0.07600000000000007,0.405,0.04150000000000009,/_gmm/323
58,pick,veggietomato,box,0.14400000000000002,-0.7540000000000002,0.07699999999999996,2.454,0.1215,/_gmm/352
59,pick,veggietomato,box,0.258,0.22699999999999942,0.07700000000000018,1.108,0.12,/_gmm/362
60,pick,veggietomato,box,0.19299999999999995,0.2909999999999995,0.07700000000000018,0.245,0.1875000000000001,/_gmm/366
61,pick,veggietomato,box,0.22299999999999998,0.0040000000000000036,0.07700000000000018,1.322,0.15750000000000008,/_gmm/367
62,pick,veggietomato,box,0.19699999999999995,0.017999999999999794,0.07700000000000018,2.605,0.18100000000000005,/_gmm/369
63,pick,veggietomato,box,0.266,0.121,0.07700000000000018,1.324,0.11199999999999999,/_gmm/370
64,pick,veggietomato,box,0.245,0.06400000000000006,0.07700000000000018,1.328,0.133,/_gmm/388
65,pick,veggietomato,box,0.22299999999999998,0.8140000000000001,0.07700000000000018,2.859,0.15500000000000003,/_gmm/393
66,pick,veggietomato,box,0.188,0.15300000000000047,0.07600000000000007,1.862,0.10950000000000004,/_gmm/398
67,pick,veggietomato,box,0.173,-0.21199999999999974,0.07600000000000007,1.601,0.12450000000000006,/_gmm/399
68,pick,veggietomato,box,0.15799999999999997,0.08799999999999963,0.07600000000000007,2.715,0.13950000000000007,/_gmm/401
69,pick,veggietomato,box,0.17299999999999993,-0.20399999999999996,0.07700000000000018,3.011,0.20500000000000007,/_gmm/404
70,pick,veggietomato,box,0.258,0.201,0.07700000000000018,0.214,0.12,/_gmm/412
71,pick,veggietomato,box,0.288,-0.12700000000000022,0.07700000000000018,2.383,0.11550000000000005,/_gmm/418
72,pick,veggietomato,box,0.332,0.028999999999999915,0.07700000000000018,0.955,0.07200000000000006,/_gmm/428
73,pick,veggietomato,box,0.139,0.3100000000000005,0.07699999999999996,1.691,0.1265,/_gmm/430
74,pick,veggietomato,box,0.21599999999999997,-0.5759999999999996,0.07700000000000018,2.923,0.1645000000000001,/_gmm/431
75,pick,veggietomato,box,0.279,-0.12599999999999945,0.07700000000000018,0.08,0.09899999999999998,/_gmm/437
76,pick,veggietomato,box,0.22599999999999998,0.0029999999999996696,0.07700000000000018,0.61,0.15450000000000008,/_gmm/439
77,pick,veggietomato,box,0.31799999999999995,-0.242,0.07700000000000018,0.983,0.06000000000000005,/_gmm/441
78,pick,veggietomato,box,0.27199999999999996,0.371,0.07700000000000018,2.688,0.13200000000000012,/_gmm/448
79,pick,veggietomato,box,0.175,-0.3470000000000004,0.07699999999999996,1.459,0.09050000000000002,/_gmm/451
80,pick,veggietomato,box,0.23199999999999998,-0.7470000000000001,0.07700000000000018,2.49,0.14600000000000002,/_gmm/460
